time-(ms)-h-i,voltage-near-axon-(microV)-h-i
-194.529.997.073,-263.352.638.772
-194.330.997.067,-260.399.686.626
-194.131.997.062,-260.435.075.125
-193.932.997.056,-26.053.620.733
-193.733.997.051,-260.556.247.599
-193.534.997.045,-256.841.536.848
-19.333.599.704,-254.226.407.055
-193.136.997.034,-253.735.707.509
-192.937.997.029,-244.893.834.235
-192.738.997.023,-241.495.385.705
-192.539.997.018,-241.503.056.346
-192.340.997.012,-241.280.312.829
-192.141.997.007,-241.631.909.352
-191.942.997.001,-241.457.027.788
-191.743.996.996,-241.932.981.408
-19.154.499.699,-241.926.533.623
-191.345.996.984,-241.939.135.333
-191.146.996.979,-242.650.986.388
-190.947.996.973,-244.558.011.354
-190.748.996.968,-244.210.274.916
-190.549.996.962,-253.737.216.719
-190.350.996.957,-259.990.500.668
-190.151.996.951,-260.495.404.885
-189.952.996.946,-260.638.992.052
-18.975.399.694,-259.873.466.173
-189.554.996.935,-256.500.624.931
-189.355.996.929,-254.719.247.854
-189.156.996.924,-255.063.793.819
-188.957.996.918,-246.328.158.598
-188.758.996.913,-241.017.950.061
-188.559.996.907,-23.904.241.301
-188.360.996.902,-238.633.281.032
-188.161.996.896,-230.492.525.853
-187.962.996.891,-226.310.456.926
-187.763.996.885,-227.049.218.958
-18.756.499.688,-228.854.433.641
-187.365.996.874,-228.828.014.018
-187.166.996.868,-236.168.401.612
-186.967.996.863,-239.399.667.592
-186.768.996.857,-238.567.521.633
-186.569.996.852,-239.284.066.938
-186.370.996.846,-228.411.754.082
-186.171.996.841,-229.108.074.706
-185.972.996.835,-241.019.762.753
-18.577.399.683,-241.378.615.984
-185.574.996.824,-241.491.832.898
-185.375.996.819,-241.414.064.545
-185.176.996.813,-241.653.950.294
-184.977.996.808,-242.413.066.168
-184.778.996.802,-244.604.239.919
-184.579.996.797,-243.141.090.184
-184.380.996.791,-249.915.596.605
-184.181.996.786,-256.871.194.183
-18.398.299.678,-243.341.322.252
-183.783.996.775,-253.866.294.837
-183.584.996.769,-253.780.642.713
-183.385.996.764,-241.442.080.211
-183.186.996.758,-240.937.876.092
-182.987.996.752,-240.681.318.932
-182.788.996.747,-240.361.590.496
-182.589.996.741,-24.023.202.524
-182.390.996.736,-240.019.909.231
-18.219.199.673,-240.101.279.577
-181.992.996.725,-240.226.508.467
-181.793.996.719,-240.650.220.996
-181.594.996.714,-240.680.881.749
-181.395.996.708,-239.885.937.976
-181.196.996.703,-237.771.824.816
-180.997.996.697,-237.202.290.842
-180.798.996.692,-230.910.057.182
-180.599.996.686,-224.528.489.309
-180.400.996.681,-22.442.751.343
-180.201.996.675,-22.176.521.896
-18.000.299.667,-224.229.701.037
-179.803.996.664,-225.175.504.329
-179.604.996.659,-227.163.869.091
-179.405.996.653,-228.207.706.851
-179.206.996.648,-228.439.016.351
-179.007.996.642,-238.660.210.618
-178.808.996.637,-241.191.948.448
-178.609.996.631,-235.667.620.081
-178.410.996.625,-232.927.402.563
-17.821.199.662,-238.807.891.858
-178.012.996.614,-238.564.361.454
-177.813.996.609,-227.588.959.615
-177.614.996.603,-226.699.873.149
-177.415.996.598,-22.864.932.455
-177.216.996.592,-228.716.699.593
-177.017.996.587,-232.809.184.502
-176.818.996.581,-240.864.592.648
-176.619.996.576,-240.413.375.603
-17.642.099.657,-237.853.044.774
-176.221.996.565,-237.172.412.621
-176.022.996.559,-233.068.033.883
-175.823.996.554,-224.403.626.782
-175.624.996.548,-223.930.240.697
-175.425.996.543,-224.140.343.007
-175.226.996.537,-224.343.497.459
