V axon soma stm a-f,Firing modulation soma stm a-f,V axon axon stm a-f,Firing modulation axon stm a-f,V axon soma stm g,Firing modulation soma stm g,V axon axon stm g,Firing modulation axon stm g,time (ms) h-i,voltage near axon (microV) h-i,time (ms) h-i,firing modulation (Hz; green trace) h-i
,,,,,,,,-264.975.999.028,-203.195.925.914,-272.153.667.255,207.299.933.497
,,,,,,,,-264.776.999.022,-203.250.214.413,-271.987.000.589,210.790.616.221
,,,,,,,,-264.577.999.017,-203.463.450.313,-271.820.333.922,214.126.549.929
,,,,,,,,-264.378.999.011,-203.567.172.853,-271.653.667.255,217.306.749.929
,,,,,,,,-264.179.999.006,-203.409.718.642,-271.487.000.589,220.331.068.272
,,,,,,,,-263.980.999,-203.507.879.201,-271.320.333.922,223.200.158.312
,,,,,,,,-263.781.998.995,-203.623.196.464,-271.153.667.255,225.915.433.419
,,,,,,,,-263.582.998.989,-203.714.880.038,-270.987.000.589,228.479.020.641
,,,,,,,,-263.383.998.984,-203.561.957.415,-270.820.333.922,2.308.937.101
,,,,,,,,-263.184.998.978,-204.236.259.149,-270.653.667.255,233.162.900.963
,,,,,,,,-262.985.998.973,-204.138.705.489,-270.487.000.589,235.290.544.794
,,,,,,,,-262.786.998.967,-204.213.586.056,-270.320.333.922,237.281.087.082
,,,,,,,,-262.587.998.962,-204.136.161.335,-270.153.667.255,239.139.407.714
,,,,,,,,-262.388.998.956,-20.424.184.476,-269.987.000.589,240.870.761.118
,,,,,,,,-262.189.998.951,-204.027.293.535,-269.820.333.922,242.480.716.748
,,,,,,,,-261.990.998.945,-20.410.365.871,-269.653.667.255,243.975.100.526
,,,,,,,,-26.179.199.894,-204.145.785.486,-269.487.000.589,245.359.937.792
,,,,,,,,-261.592.998.934,-20.414.861.785,-269.320.333.922,246.641.398.249
,,,,,,,,-261.393.998.929,-204.116.056.201,-269.153.667.255,24.782.574.331
,,,,,,,,-261.194.998.923,-20.420.095.795,-268.987.000.589,248.919.276.209
,,,,,,,,-260.995.998.918,-204.114.458.339,-268.820.333.922,249.928.295.134
,,,,,,,,-260.796.998.912,-204.160.407.767,-268.653.667.255,250.859.049.618
,,,,,,,,-260.597.998.906,-204.025.923.309,-268.487.000.589,251.717.700.325
,,,,,,,,-260.398.998.901,-204.144.094.951,-268.320.333.922,252.510.282.343
,,,,,,,,-260.199.998.895,-204.076.040.393,-268.153.667.255,253.242.672.019
,,,,,,,,-26.000.099.889,-204.188.870.627,-267.987.000.589,253.920.557.366
,,,,,,,,-259.801.998.884,-20.426.902.344,-267.820.333.922,254.549.411.979
