time-(ms)-h-i,firing-modulation-(Hz-green-trace)-h-i
-207.320.333.922,679.903.802.959
-207.153.667.255,679.748.634.151
-206.987.000.589,679.584.527.537
-206.820.333.922,679.412.588.085
-206.653.667.255,679.233.987.096
-206.487.000.589,67.904.995.592
-206.320.333.922,678.861.779.685
-206.153.667.255,678.670.790.942
-205.987.000.589,678.478.363.202
-205.820.333.922,678.285.904.275
-205.653.667.255,67.809.484.937
-205.487.000.589,67.790.665.389
-205.320.333.922,677.722.785.896
-205.153.667.255,677.544.718.185
-204.987.000.589,677.373.919.991
-204.820.333.922,677.211.848.284
-204.653.667.255,67.705.993.869
-204.487.000.589,676.919.596.076
-204.320.333.922,67.679.218.482
-204.153.667.255,676.679.018.854
-203.987.000.589,676.581.351.542
-203.820.333.922,676.500.365.496
-203.653.667.255,676.437.162.422
-203.487.000.589,676.392.753.105
-203.320.333.922,67.636.804.766
-203.153.667.255,676.363.846.158
-202.987.000.589,676.380.829.754
-202.820.333.922,676.419.552.432
-202.653.667.255,676.480.433.483
-202.487.000.589,676.563.750.828
-202.320.333.922,676.669.635.275
-202.153.667.255,676.798.065.813
-201.987.000.589,676.948.866.006
-201.820.333.922,677.121.701.567
-201.653.667.255,67.731.607.914
-201.487.000.589,677.531.346.348
-201.320.333.922,677.766.693.107
-201.153.667.255,678.021.154.226
-200.987.000.589,678.293.613.273
-200.820.333.922,678.582.807.696
-200.653.667.255,678.887.335.144
-200.487.000.589,679.205.660.966
-200.320.333.922,679.536.126.799
-200.153.667.255,679.876.960.211
-199.987.000.589,680.226.285.287
-199.820.333.922,680.582.134.106
-199.653.667.255,680.942.459.002
-199.487.000.589,681.305.145.517
-199.320.333.922,68.166.802.597
-199.153.667.255,682.028.893.509
-198.987.000.589,682.385.516.583
-198.820.333.922,682.735.653.713
-198.653.667.255,683.077.068.467
-198.487.000.589,683.407.544.549
-198.320.333.922,683.724.900.893
-198.153.667.255,684.027.006.677
-197.987.000.589,684.311.796.147
-197.820.333.922,68.457.728.318
-197.653.667.255,684.821.575.467
-197.487.000.589,685.042.888.247
-197.320.333.922,685.239.557.481
-197.153.667.255,685.410.052.389
-196.987.000.589,68.555.298.725
-196.820.333.922,685.667.132.378
-196.653.667.255,685.751.424.184
-196.487.000.589,68.580.497.423
-196.320.333.922,685.827.077.187
-196.153.667.255,685.817.217.612
-195.987.000.589,68.577.507.546
-195.820.333.922,685.700.530.234
-195.653.667.255,685.593.663.725
-195.487.000.589,685.454.761.235
-195.320.333.922,685.284.311.254
-195.153.667.255,685.083.003.505
-194.987.000.589,684.851.725.343
-194.820.333.922,68.459.155.645
-194.653.667.255,684.303.761.833
-194.487.000.589,683.989.783.113
-194.320.333.922,683.651.228.126
-194.153.667.255,683.289.858.874
-193.987.000.589,682.907.577.892
-193.820.333.922,682.506.413.101
-193.653.667.255,682.088.501.256
-193.487.000.589,681.656.070.112
-193.320.333.922,681.211.419.463
-193.153.667.255,680.756.901.206
-192.987.000.589,680.294.898.636
-192.820.333.922,679.827.805.173
-192.653.667.255,679.358.002.741
-192.487.000.589,678.887.840.042
-192.320.333.922,678.419.610.972
-192.153.667.255,67.795.553.343
-191.987.000.589,677.497.728.792
